Name,RA,DEC,zlens,zsource,R_Ein(arcsec),"maglens,i","magsource,i",Lens type,Discovery,Grade,References,unknown,Paper
120601+005653,181.507986,0.94827,0.559,-99,-99,-99,-99,18.93,22.76,GG,YV,C,SuGOHI1 SuGOHI6
120617+005509,181.5739,0.9194,-99,-99,0.96,1.37,-99,20.75,22.99,CG,V,C,SuGOHI5
120619-013212,181.580953,-1.536938,-99,-99,0.56,-99,-99,19.64,-99,GG,VY,C,SuGOHI6
120620+011845,181.58601,1.312538,-99,-99,0.57,-99,-99,19.94,-99,GG,VY,C,SuGOHI6
120623+001507,181.599365,0.251987,0.563,3.12,-99,-99,1.17,18.68,-99,GG,E,A,SuGOHI1 SuGOHI3
120624-001005,181.601364,-0.168157,0.495,-99,-99,-99,-99,18.69,22.6,GG,Y,C,SuGOHI1
120630-011428,181.629124,-1.241309,-99,-99,0.69,-99,-99,20.58,-99,GG,V,B,SuGOHI6
120631-013328,181.630638,-1.557982,-99,-99,0.74,-99,-99,20.1,-99,GG,VY,C,SuGOHI6
120651-000051,181.7127,-0.0141,-99,-99,0.7,-99,-99,20.92,21.52,GG,V,C,SuGOHI5
120719+010550,181.833167,1.097296,-99,-99,0.96,-99,-99,21.66,-99,GG,VY,C,SuGOHI6
120729-000902,181.874342,-0.150673,-99,-99,0.33,-99,-99,18.11,-99,GG,V,C,SuGOHI6
120743-010355,181.9302,-1.0653,0.18,-99,0.18,-99,-99,16.83,-99,CG,V,B,SuGOHI5
120806-012233,182.027501,-1.375885,-99,-99,0.36,-99,-99,18.7,-99,GG,VY,B,SuGOHI6
120808+004615,182.0365,0.771,-99,-99,0.76,2.43,-99,22.63,25.04,GG,V,C,SuGOHI5
120809+000250,182.038235,0.047241,-99,-99,0.56,-99,-99,19.8,-99,GG,V,C,SuGOHI6
120816-011409,182.069106,-1.236109,-99,-99,0.94,-99,-99,21.67,-99,GG,V,C,SuGOHI6
120849+012845,182.2052,1.4792,-99,-99,0.71,0.86,-99,21.08,23.28,CG,VY,B,SuGOHI5 SuGOHI6
120850-000339,182.209717,-0.060883,-99,-99,0.72,-99,-99,20.24,-99,GG,V,C,SuGOHI6
120855-010304,182.2304,-1.0513,0.662,-99,0.71,1.74,-99,19.61,25.57,CG,V,B,SuGOHI5 SuGOHI6
120903+002852,182.2636,0.4812,-99,-99,0.42,2.87,-99,20.15,25.88,CG,V,C,SuGOHI5
121009-020518,182.5407,-2.0886,-99,-99,0.48,-99,-99,19.06,22.84,CG,V,C,SuGOHI5
121022-011200,182.5948,-1.2002,0.574,-99,0.59,0.84,-99,18.57,21.25,CG,V,B,SuGOHI5
121022-011201,182.595237,-1.20048,-99,-99,0.55,-99,-99,18.58,-99,GG,V,C,SuGOHI6
121043+010934,182.680413,1.159587,-99,-99,0.73,-99,-99,20.28,-99,GG,V,C,SuGOHI6
121052-011904,182.718341,-1.31805,-99,-99,-99,-99,1.16,-99,-99,GQ,C,B,SuGOHI4
121052-011905,182.718689,-1.318104,0.7,2.295,-99,-99,1.28,19.37,22.34,GG,YC,A,SuGOHI1 SuGOHI3
121104-005458,182.7676,-0.9162,-99,-99,0.62,-99,-99,20.27,-99,GG,V,C,SuGOHI5 SuGOHI6
121105-004905,182.771992,-0.818146,0.569,-99,-99,-99,-99,18.94,21.08,GG,Y,C,SuGOHI1
121113-003532,182.806769,-0.592341,-99,-99,0.77,-99,-99,19.65,-99,GG,V,C,SuGOHI6
121120+003310,182.836131,0.553007,-99,-99,0.92,-99,-99,21.01,-99,GG,VY,C,SuGOHI6
121144+005753,182.935935,0.964726,-99,-99,1.08,-99,-99,21.84,-99,GG,VY,C,SuGOHI6
121156+002054,182.9874,0.3483,-99,-99,0.79,-99,-99,20.27,-99,CG,V,B,SuGOHI5
121208-000356,183.035836,-0.065813,-99,-99,0.86,-99,-99,20.69,-99,GG,V,C,SuGOHI6
121215+015448,183.06481,1.91354,0.4,-99,-99,-99,-99,18.31,20.72,GG,Y,C,SuGOHI2 LinKS
121223-013304,183.0987,-1.5511,0.404,-99,0.4,1.09,-99,19.22,20.69,CG,V,C,SuGOHI5
121226+000514,183.108974,0.087258,-99,-99,0.46,-99,-99,18.85,-99,GG,V,C,SuGOHI6
121234-002643,183.145138,-0.44553,-99,-99,0.78,-99,-99,19.99,-99,GG,V,C,SuGOHI6
121246-001711,183.19471,-0.286441,-99,-99,0.73,-99,-99,20.85,-99,GG,VY,C,SuGOHI6
121248-003932,183.20222,-0.659158,-99,-99,0.8,-99,-99,20.99,-99,GG,V,C,SuGOHI6
121317+015311,183.323,1.8864,0.401,-99,0.41,2.44,-99,18.9,-99,CG,V,C,SuGOHI5 LinKS
121357+002858,183.489267,0.482858,-99,-99,0.54,-99,-99,20.04,-99,GG,V,C,SuGOHI6
121400-005208,183.502134,-0.86891,-99,-99,0.4,-99,-99,18.61,-99,GG,V,C,SuGOHI6
121403+001602,183.512745,0.267243,-99,-99,0.46,-99,-99,18.51,-99,GG,VY,C,SuGOHI6 LinKS
121407+020944,183.53104,2.162314,0.442,-99,-99,-99,-99,18.64,22.58,GG,Y,C,SuGOHI2
121504+004726,183.7685,0.790556,0.642,1.297,-99,-99,1.37,19.54,-99,GG,K,A,BELLS SuGOHI3
121731+002349,184.3813,0.3971,0.374,-99,0.38,-99,-99,18.26,-99,CG,V,C,SuGOHI5
121904-014824,184.76679,-1.806745,0.458,-99,-99,-99,-99,19.72,21.06,GG,Y,C,SuGOHI2
121942+005027,184.925,0.841,0.325,-99,0.35,1.65,-99,18.5,24.63,CG,V,C,SuGOHI5
121953+000500,184.97231,0.083404,0.384,-99,-99,-99,-99,18.2,21.49,GG,Y,C,SuGOHI2
122032+005421,185.13499,0.905959,0.629,-99,-99,-99,-99,19.36,22.56,GG,Y,C,SuGOHI2
122048+002145,185.20138,0.362774,0.407,-99,-99,-99,-99,18.21,22.58,GG,Y,B,SuGOHI2 LinKS
122126+002434,185.3604,0.4095,-99,-99,0.66,-99,-99,20.18,21.77,CG,V,C,SuGOHI5
122219-003357,185.5794,-0.5658,0.458,-99,0.46,-99,-99,18.47,-99,CG,V,C,SuGOHI5 LinKS
122225-012652,185.6072,-1.4478,0.295,-99,0.29,1.86,-99,17.88,23.24,CG,V,A,SuGOHI5
122229+004443,185.6238,0.745487,0.622,-99,-99,-99,-99,19.36,22.79,GG,Y,C,SuGOHI2
122241+020558,185.672,2.0997,0.229,-99,0.24,0.34,-99,17.1,17.61,GG,V,B,SuGOHI5 LinKS
122314-002939,185.8114,-0.494375,0.547,-99,-99,-99,-99,19.02,23.22,GG,Y,B,SuGOHI2
122335-021030,185.8963,-2.1751,0.439,-99,0.35,2.11,-99,17.83,25.97,CG,V,B,SuGOHI5
122341+001513,185.92291,0.253627,0.583,-99,-99,-99,-99,19.12,22.06,GG,Y,C,SuGOHI2
122409+002508,186.04129,0.419075,0.639,-99,-99,-99,-99,19.32,22.75,GG,Y,C,SuGOHI2
122427-000955,186.11355,-0.165324,0.638,-99,-99,-99,-99,19.72,22.35,GG,Y,C,SuGOHI2
122450-004215,186.2095,-0.7042,0.403,-99,0.4,0.56,-99,17.85,18.71,CG,V,A,SuGOHI5 LinKS
122507+013251,186.2816,1.5477,-99,-99,0.83,1.23,-99,21.75,23.99,GG,V,C,SuGOHI5
122531+000611,186.3799,0.1032,-99,-99,1.08,-99,-99,21.56,-99,GG,V,C,SuGOHI5
122532-014850,186.385,-1.814057,0.623,-99,-99,-99,-99,19.63,22.85,GG,Y,C,SuGOHI2
122641+004616,186.67423,0.771347,0.691,-99,-99,-99,-99,19.51,22.5,GG,Y,C,SuGOHI2
122816+013945,187.06945,1.662595,0.473,-99,-99,-99,-99,19.2,20.66,GG,Y,C,SuGOHI2
122917+003649,187.3247,0.6138,0.405,-99,0.4,0.95,-99,18.26,23.69,CG,V,C,SuGOHI5
122952-002402,187.46746,-0.400714,0.743,-99,-99,-99,-99,20.27,22.28,GG,Y,C,SuGOHI2
123019+004532,187.5807,0.7591,0.58,-99,0.58,1.8,-99,19.71,25.12,CG,V,C,SuGOHI5
123019+012621,187.582,1.439263,0.556,-99,-99,-99,-99,19.37,22.08,GG,Y,C,SuGOHI2
123107+002332,187.7807,0.3924,0.591,-99,0.6,2.06,-99,18.7,24.03,CG,V,B,SuGOHI5
123134+030154,187.8947,3.0317,0.461,-99,0.42,-99,-99,-99,-99,CG,V,B,SuGOHI5
123222-004236,188.094,-0.7101,-99,-99,0.45,1.72,-99,19.15,22.74,CG,V,C,SuGOHI5
123302-014406,188.2621,-1.735,-99,-99,0.63,2.26,-99,21.11,22.02,CG,V,B,SuGOHI5
123307+013149,188.2802,1.5303,0.425,-99,0.42,1.38,-99,18.23,23.54,CG,V,B,SuGOHI5 LinKS
123348-000929,188.4509,-0.158,0.135,-99,0.14,-99,-99,17.28,-99,CG,V,C,SuGOHI5
123421-000926,188.5909,-0.1572,-99,-99,0.41,-99,-99,18.89,20.17,GG,V,B,SuGOHI5 LinKS
123434+000708,188.644,0.1191,-99,-99,1.04,-99,-99,21.51,23.48,CG,V,B,SuGOHI5
123447+000936,188.69622,0.160229,0.672,-99,-99,-99,-99,19.52,22.2,GG,Y,C,SuGOHI2
123636-010215,189.15002,-1.037767,0.418,-99,-99,-99,-99,17.76,22.66,GG,Y,C,SuGOHI2
123816-001011,189.56767,-0.169724,0.385,-99,-99,-99,-99,17.88,23.05,GG,Y,C,SuGOHI2 LinKS
123825+003212,189.60429,0.536791,0.478,-99,-99,-99,-99,19.45,22.63,GG,Y,B,SuGOHI2
123917-000434,189.82456,-0.076265,0.348,-99,-99,-99,-99,18.67,22.53,GG,Y,C,SuGOHI2 LinKS
123940-010715,189.9197,-1.121,-99,-99,0.74,1.97,-99,22.26,25.31,GG,V,C,SuGOHI5
124024-012957,190.10034,-1.499421,0.671,-99,-99,-99,-99,19.76,22.44,GG,Y,C,SuGOHI2
124101-002920,190.25668,-0.489139,0.602,-99,-99,-99,-99,18.62,21.62,GG,Y,C,SuGOHI2
124158+034722,190.4916,3.7894,0.414,-99,0.34,-99,-99,-99,-99,CG,V,B,SuGOHI5
124320-004517,190.83651,-0.754953,0.654,-99,-99,-99,-99,19.02,22.43,GG,Y,A,SuGOHI2
124438-013945,191.16077,-1.662507,0.41,-99,-99,-99,-99,18.37,23.14,GG,Y,C,SuGOHI2
124451+010642,191.21397,1.111935,0.387,-99,-99,-99,-99,17.64,20.03,GG,Y,C,SuGOHI2 LinKS
124453+041315,191.2226,4.221,0.322,-99,0.33,-99,-99,-99,-99,CG,V,A,SuGOHI5
124500+023124,191.2517,2.5233,0.492,-99,0.47,-99,-99,-99,-99,CG,V,C,SuGOHI5 LinKS
124709+030444,191.7904,3.079,0.515,-99,0.55,-99,-99,-99,-99,CG,V,C,SuGOHI5
124856-000207,192.23399,-0.035329,0.586,-99,-99,-99,-99,18.88,23.89,GG,Y,C,SuGOHI2
124916-011826,192.3189,-1.3074,0.425,-99,0.48,1.86,-99,21.02,26.35,CG,V,B,SuGOHI5
125231-021858,193.1309,-2.3161,0.42,-99,0.38,-99,-99,-99,-99,CG,V,C,SuGOHI5
125251+005805,193.2132,0.968276,0.54,-99,-99,-99,-99,19.18,23.05,GG,Y,B,SuGOHI2
125254+004356,193.22746,0.732316,0.649,-99,-99,-99,-99,18.9,21.58,GG,Y,A,SuGOHI2
125340+043706,193.4194,4.6185,0.243,-99,0.22,-99,-99,-99,-99,CG,V,A,SuGOHI5
125355+001414,193.48199,0.237413,0.638,-99,-99,-99,-99,19.52,24.08,GG,Y,C,SuGOHI2
125524+010209,193.8522,1.0359,0.374,-99,0.34,-99,-99,-99,-99,CG,V,B,SuGOHI5
130037-015636,195.1575,-1.9435,0.447,-99,0.45,-99,-99,-99,-99,CG,V,C,SuGOHI5
130051+002336,195.2133,0.3933,-99,-99,0.33,-99,-99,-99,-99,CG,V,C,SuGOHI5
130222+001414,195.5944,0.2373,0.36,-99,0.36,-99,-99,-99,-99,CG,V,C,SuGOHI5
130845-004717,197.1896,-0.7883,0.188,-99,0.18,-99,-99,-99,-99,CG,V,B,SuGOHI5
130925-001437,197.3544,-0.2437,0.419,-99,0.44,-99,-99,-99,-99,CG,V,C,SuGOHI5
131129-012027,197.8728,-1.3411,0.174,-99,0.14,-99,-99,-99,-99,CG,V,A,SuGOHI5
131549+002717,198.9546,0.4547,-99,-99,0.58,-99,-99,-99,-99,CG,V,C,SuGOHI5
132150-013423,200.459,-1.573,0.562,-99,0.52,-99,-99,-99,-99,CG,V,C,SuGOHI5
132728+430500,201.87,43.0835,0.374,-99,0.36,-99,-99,-99,-99,CG,V,A,SuGOHI5
133001+421520,202.5082,42.2557,0.45,-99,0.43,-99,-99,-99,-99,CG,V,C,SuGOHI5
133031+434417,202.6314,43.7382,0.548,-99,0.59,-99,-99,-99,-99,CG,V,C,SuGOHI5
133129-011857,202.8721,-1.3159,0.308,-99,0.3,-99,-99,-99,-99,CG,V,C,SuGOHI5
133637+431327,204.1559,43.2242,0.422,-99,0.37,-99,-99,-99,-99,CG,V,C,SuGOHI5
133708+011303,204.2833,1.2176,0.327,-99,0.32,-99,-99,17.21,-99,CG,V,B,SuGOHI5 LinKS
133844+002240,204.6864,0.3778,0.477,-99,0.48,-99,-99,-99,-99,CG,V,C,SuGOHI5
134029+441003,205.124,44.1677,0.546,-99,0.44,-99,-99,-99,-99,CG,V,B,SuGOHI5
134054+421903,205.2258,42.3175,0.359,-99,0.36,-99,-99,-99,-99,CG,V,C,SuGOHI5
134222-014737,205.59508,-1.793712,0.713,-99,-99,-99,-99,18.97,23.05,GG,Y,C,SuGOHI2
134332+415503,205.8868,41.9176,0.418,-99,0.4,-99,-99,-99,-99,CG,V,A,SuGOHI5 CASSOWARY
134351+010817,205.96652,1.138167,0.567,-99,-99,-99,-99,19.18,21.93,GG,Y,B,SuGOHI2
134352-011240,205.96888,-1.211118,0.757,-99,-99,-99,-99,19.78,21.88,GG,Y,C,SuGOHI2
134455-002015,206.2317,-0.3377,-99,-99,0.42,0.67,-99,18.76,21.13,GG,V,B,SuGOHI5
134458+002422,206.24367,0.406339,0.323,-99,-99,-99,-99,17.98,22.14,GG,Y,C,SuGOHI2
134522+001226,206.3424,0.2073,-99,-99,0.44,0.5,-99,20.41,20.04,GG,V,C,SuGOHI5
134725+003331,206.85554,0.558849,0.507,-99,-99,-99,-99,18.48,22.46,GG,Y,C,SuGOHI2
134805-013231,207.02148,-1.542142,0.521,-99,-99,-99,-99,20.09,21.92,GG,Y,C,SuGOHI2
134826-011724,207.10943,-1.290247,0.626,-99,-99,-99,-99,18.85,21.56,GG,Y,C,SuGOHI2
134844+005101,207.18363,0.850404,0.525,-99,-99,-99,-99,19.2,23.18,GG,Y,C,SuGOHI2
134903-001947,207.2637,-0.3298,-99,-99,0.55,0.86,-99,19.47,18.71,CG,V,B,SuGOHI5
135000+430140,207.503,43.0278,0.353,-99,0.24,-99,-99,-99,-99,CG,V,C,SuGOHI5
135038+002550,207.65912,0.430628,0.526,-99,-99,-99,-99,19.22,22.6,GG,Y,B,SuGOHI2
135042-004307,207.67641,-0.718632,0.573,-99,-99,-99,-99,19.34,23.7,GG,Y,C,SuGOHI2
135126+013338,207.86029,1.560773,0.592,-99,-99,-99,-99,19.42,22.64,GG,Y,C,SuGOHI2
135138+002839,207.91216,0.477766,0.461,-99,-99,-99,-99,18.09,21.56,GG,Y,A,SuGOHI2
135155+010111,207.98177,1.019725,0.516,-99,-99,-99,-99,19.13,23.37,GG,Y,C,SuGOHI2
135242-002614,208.1791,-0.437224,0.508,-99,-99,-99,-99,17.92,23.69,GG,Y,B,SuGOHI2
135252+005529,208.2191,0.9249,-99,-99,0.76,1.63,-99,21.03,23.6,CG,V,C,SuGOHI5
135444+434407,208.6868,43.7353,0.364,-99,0.35,-99,-99,-99,-99,CG,V,C,SuGOHI5
135531+000955,208.8796,0.1654,0.675,-99,0.68,2.02,-99,19.54,26.1,CG,V,C,SuGOHI5
135647+001756,209.19808,0.299026,0.596,-99,-99,-99,-99,19.49,21.44,GG,Y,C,SuGOHI2
135742+010011,209.4264,1.0031,0.168,-99,0.17,-99,-99,16.7,-99,CG,V,C,SuGOHI5
135745+012926,209.44036,1.490576,0.681,-99,-99,-99,-99,19.91,21.79,GG,Y,C,SuGOHI2
135753-013909,209.47245,-1.652752,-99,-99,0.67,-99,-99,19.84,-99,GG,V,C,SuGOHI6
135754-013601,209.476669,-1.600453,-99,-99,0.73,-99,-99,20.77,-99,GG,V,C,SuGOHI6
135836-012230,209.6514,-1.375,-99,-99,0.84,-99,-99,21.28,22.35,CG,V,C,SuGOHI5
135842+004944,209.676849,0.829151,-99,-99,0.76,-99,-99,21.38,-99,GG,VY,C,SuGOHI6
135853-021525,209.72297,-2.257147,0.737,-99,-99,-99,-99,19.32,23.37,GG,Y,B,SuGOHI2
135903-011243,209.762563,-1.212037,-99,-99,0.51,-99,-99,19.24,-99,GG,VY,C,SuGOHI6
135942-012621,209.9284,-1.4391,0.407,-99,0.38,0.6,-99,18.3,24.04,CG,VY,B,SuGOHI5 SuGOHI6
135944+012809,209.934208,1.469389,-99,1.097,-99,-99,0.53,19.75,-99,GQ,SV,A,SuGOHI7
135955+001336,209.980495,0.226909,-99,-99,1.15,-99,-99,22.13,-99,GG,VY,C,SuGOHI6
140001+004405,210.006217,0.734728,0.581,-99,-99,-99,-99,19.7,21.96,GG,Y,C,SuGOHI1
140021+002420,210.0876,0.4057,-99,-99,0.37,-99,-99,19.28,23.39,CG,V,B,SuGOHI5
140033-005548,210.139952,-0.930033,-99,-99,0.69,-99,-99,20.1,-99,GG,V,C,SuGOHI6
140036-003232,210.150728,-0.542384,0.53,-99,-99,-99,-99,19.13,22,GG,Y,C,SuGOHI1
140042-010556,210.178482,-1.099092,-99,-99,0.7,-99,-99,20.75,-99,GG,VY,B,SuGOHI6
140157-001655,210.490983,-0.282061,-99,-99,0.63,-99,-99,20.1,-99,GG,VY,C,SuGOHI6
140200-010928,210.503579,-1.158016,0.663,-99,-99,-99,-99,20.09,23.69,GG,Y,C,SuGOHI1
140203+005843,210.512597,0.978612,-99,-99,0.7,-99,-99,20.95,-99,GG,V,C,SuGOHI6
140206+004733,210.528503,0.792687,-99,-99,0.73,-99,-99,20.91,-99,GG,V,C,SuGOHI6
140219-011938,210.583228,-1.327424,-99,-99,0.81,-99,-99,20.6,-99,GG,VY,C,SuGOHI6
140231-012831,210.630233,-1.475542,0.619,-99,-99,-99,-99,19.63,23.11,GG,Y,C,SuGOHI1
140247+004933,210.69738,0.826058,-99,-99,1.01,-99,-99,21.88,-99,GG,V,C,SuGOHI6
140315-022441,210.814619,-2.41145,-99,-99,0.47,-99,-99,18.64,-99,GG,VY,C,SuGOHI6
140329+000641,210.872875,0.1115,0.189,0.473,-99,-99,0.83,17.02,-99,CG,KV,A,SLACS SuGOHI5
140345-021710,210.937845,-2.2862,0.616,-99,-99,-99,-99,19.32,21.83,GG,Y,C,SuGOHI1
140434+005341,211.142114,0.894764,0.508,-99,-99,-99,-99,19.31,21.24,GG,Y,C,SuGOHI1
140444-022123,211.187433,-2.356561,-99,-99,0.31,-99,-99,17.95,-99,GG,VY,C,SuGOHI6 LinKS
140452+005122,211.217906,0.856289,-99,-99,0.33,-99,-99,18.15,-99,GG,VY,B,SuGOHI6 LinKS
140457+003708,211.240693,0.618959,-99,-99,1.19,-99,-99,21.67,-99,GG,V,C,SuGOHI6
140505-000455,211.271556,-0.082145,-99,-99,1.01,-99,-99,21.63,-99,GG,VY,C,SuGOHI6
140505-012930,211.271396,-1.491873,-99,-99,0.62,-99,-99,19.12,-99,GG,VY,C,SuGOHI6
140508-002830,211.2849,-0.475,-99,-99,0.56,1.23,-99,-99,-99,GG,V,B,SuGOHI5
140530+000735,211.3753,0.1265,-99,-99,0.92,-99,-99,21.06,22.24,GG,VY,C,SuGOHI5 SuGOHI6
140530+011448,211.37886,1.246702,-99,-99,0.99,-99,-99,21.6,-99,GG,V,C,SuGOHI6
140615-003123,211.563498,-0.523216,-99,-99,0.56,-99,-99,19.56,-99,GG,VY,C,SuGOHI6
140639-020526,211.662598,-2.090679,0.53,-99,-99,-99,-99,-99,-99,GG,E,C,SuGOHI1
140648+002929,211.7024,0.4915,-99,-99,0.33,-99,-99,19.3,-99,GG,V,C,SuGOHI5
140705-011256,211.772524,-1.215786,0.647,-99,-99,-99,-99,18.7,23.4,GG,YV,C,SuGOHI1 SuGOHI6
140714+000110,211.808789,0.019627,0.644,-99,-99,-99,-99,18.96,22.49,GG,Y,C,SuGOHI1
140730-011528,211.875848,-1.257966,-99,-99,0.77,-99,-99,20.6,-99,GG,V,C,SuGOHI6
140740+425138,211.9169,42.8606,0.558,-99,0.54,-99,-99,-99,-99,CG,V,C,SuGOHI5
140753-002815,211.9737,-0.471,0.471,-99,0.49,1.37,-99,18.61,22.78,CG,V,B,SuGOHI5
140753-002816,211.973434,-0.471288,-99,-99,0.44,-99,-99,18.73,-99,GG,V,B,SuGOHI6
140756-014954,211.985275,-1.831762,-99,-99,0.66,-99,-99,19.97,-99,GG,V,C,SuGOHI6
140801-003517,212.004927,-0.588269,-99,-99,0.76,-99,-99,19.67,-99,GG,V,C,SuGOHI6
140843+004450,212.181483,0.747386,0.488,-99,-99,-99,-99,18.85,23.06,GG,Y,C,SuGOHI1
140844-005246,212.184593,-0.879712,-99,-99,0.61,-99,-99,19.81,-99,GG,V,C,SuGOHI6
140846-003730,212.192646,-0.625198,-99,-99,0.58,-99,-99,19.91,-99,GG,V,C,SuGOHI6
140925-005051,212.3564,-0.8476,0.279,-99,0.28,-99,-99,18,-99,CG,V,C,SuGOHI5
140929-011410,212.373806,-1.236311,0.584,2.302,-99,-99,1.24,19.35,22.08,GQ,YC,A,SuGOHI1 SuGOHI3 SuGOHI4
140954-011215,212.4757,-1.2043,-99,-99,0.91,1.4,-99,20.52,25.4,CG,VY,C,SuGOHI5 SuGOHI6
141001+012956,212.50436,1.499157,0.541,-99,-99,-99,-99,18.21,22.69,CG,YV,B,SuGOHI2 LinKS SuGOHI5
141017-014252,212.572581,-1.714509,-99,-99,0.63,-99,-99,19.53,-99,GG,V,C,SuGOHI6
141048-010946,212.7038,-1.1629,-99,-99,0.66,-99,-99,20.52,21.98,GG,V,B,SuGOHI5
141050-010938,212.7086,-1.1607,-99,-99,0.65,1.95,-99,20.41,25.93,CG,V,B,SuGOHI5 SuGOHI6
141105+002532,212.774,0.4256,-99,-99,1.08,1.59,-99,21.23,25.42,GG,V,B,SuGOHI5 SuGOHI6
141105+005655,212.772516,0.948738,-99,-99,0.27,-99,-99,18.03,-99,GG,VY,C,SuGOHI6
141110+434116,212.7935,43.6877,-99,-99,0.49,1.19,-99,20.25,21.3,CG,V,C,SuGOHI5
141129-003129,212.87373,-0.524978,-99,-99,0.34,-99,0.81,18.4,-99,GQ,VYC,C,SuGOHI6 SuGOHI4
141136-010215,212.902176,-1.037677,0.949,3.021,0.94,-99,-99,21.79,-99,GG,VY,A,SuGOHI6
141137+010720,212.9072,1.1222,0.462,-99,0.48,0.75,-99,19.16,21,CG,VY,B,SuGOHI5 LinKS SuGOHI6
141137-011504,212.907858,-1.251263,-99,-99,0.82,-99,-99,21.43,-99,GG,V,C,SuGOHI6
141215+012727,213.065785,1.4576,-99,-99,0.74,-99,-99,20.62,-99,GG,V,C,SuGOHI6
141222-005700,213.093889,-0.950052,0.636,-99,-99,-99,-99,20.11,23.23,GG,YV,C,SuGOHI1 SuGOHI6
141232-010936,213.135794,-1.160242,-99,-99,1.12,-99,-99,22,-99,GG,V,C,SuGOHI6
141259+010259,213.246677,1.049776,-99,-99,0.75,-99,-99,20.74,-99,GG,V,C,SuGOHI6
141300-012608,213.2503,-1.4356,0.749,2.666,-99,-99,1.14,19.78,22.09,GQ,YC,A,SuGOHI1 SuGOHI3 SuGOHI4
141304-005944,213.269226,-0.995636,-99,-99,1.09,-99,-99,20.2,-99,GG,V,C,SuGOHI6
141311-002748,213.295875,-0.463396,-99,-99,0.54,-99,-99,19.41,-99,GG,V,C,SuGOHI6
141311-012228,213.298497,-1.374571,0.665,-99,-99,-99,-99,20.13,22.21,GG,Y,C,SuGOHI1
141323-000649,213.349543,-0.113828,-99,-99,-99,-99,0.56,-99,-99,GQ,C,C,SuGOHI4
141325-014341,213.357003,-1.728229,-99,-99,0.31,-99,-99,18.36,-99,GG,VY,C,SuGOHI6
141329+431131,213.37188,43.191958,0.55,-99,-99,-99,-99,18.68,22.11,GG,Y,C,SuGOHI2
141333-021014,213.391666,-2.170607,-99,-99,1.17,-99,-99,21.34,-99,GG,V,C,SuGOHI6
141350+522342,213.459012,52.395271,0.738,-99,-99,-99,-99,20.93,23.4,GG,Y,C,SuGOHI1
141352-004601,213.469431,-0.767089,-99,-99,0.69,-99,-99,20.3,-99,GG,VY,C,SuGOHI6
141359+000840,213.498444,0.144628,-99,-99,0.91,-99,-99,19.72,-99,GG,VY,C,SuGOHI6
141359-013336,213.498,-1.56,-99,-99,0.96,2.03,-99,21.85,25.22,GG,V,B,SuGOHI5
141405-001546,213.521455,-0.26291,-99,-99,0.81,-99,-99,20.81,-99,GG,V,C,SuGOHI6
141410+525048,213.5424,52.8469,-99,-99,0.4,0.47,-99,19.07,20.98,GG,V,C,SuGOHI5
141412-000730,213.553621,-0.125151,0.574,-99,-99,-99,1.07,-99,-99,GQ,C,C,SuGOHI1 SuGOHI4
141420-013645,213.5869,-1.6126,0.511,-99,0.53,2.22,-99,19.21,21.88,CG,V,A,SuGOHI5 LinKS
141420-013646,213.587415,-1.612823,-99,-99,0.49,-99,-99,19.21,-99,GG,V,A,SuGOHI6 LinKS
141421-002743,213.589648,-0.462186,0.734,-99,-99,-99,-99,19.71,22.59,GG,YV,C,SuGOHI1 SuGOHI6
141435+012641,213.645905,1.444798,0.467,-99,-99,-99,-99,-99,-99,GG,E,C,SuGOHI1
141435-001601,213.648311,-0.267135,-99,-99,0.71,-99,-99,20.36,-99,GG,V,B,SuGOHI6
141454+002912,213.727042,0.486822,0.515,-99,-99,-99,-99,-99,-99,GG,C,C,SuGOHI1
141458+523829,213.745115,52.641425,-99,-99,0.33,-99,-99,17.93,-99,GG,V,C,SuGOHI6
141501-011832,213.7568,-1.309,-99,-99,0.58,1.4,-99,20.2,23.28,CG,V,C,SuGOHI5
141503-003106,213.7629,-0.5183,0.513,-99,0.51,0.84,-99,18.75,23.58,CG,V,C,SuGOHI5 SuGOHI6
141504+012042,213.768413,1.345187,-99,-99,0.95,-99,-99,21.23,-99,GG,V,C,SuGOHI6
141514+524409,213.812053,52.735924,0.677,-99,-99,-99,-99,20.25,24.19,GG,Y,C,SuGOHI1
141556+010144,213.984967,1.028996,-99,-99,0.55,-99,-99,19.2,-99,GG,VY,C,SuGOHI6
141558+523955,213.992561,52.665393,-99,-99,0.45,-99,-99,18.62,-99,GG,VY,B,SuGOHI6
141607+000551,214.031498,0.097558,-99,-99,0.75,-99,-99,20.28,-99,GG,V,C,SuGOHI6
141620+014651,214.085982,1.780978,-99,-99,1.15,-99,-99,21.95,-99,GG,VY,C,SuGOHI6
141635+010128,214.147621,1.024697,0.7,-99,-99,-99,-99,19.14,22.12,GG,Y,B,SuGOHI1
141646-011813,214.194125,-1.303704,-99,-99,0.66,-99,-99,19.86,-99,GG,V,B,SuGOHI6
141646-015228,214.191979,-1.874653,-99,-99,-99,-99,0.81,-99,-99,GQ,C,C,SuGOHI4
141649+013822,214.207571,1.639535,-99,-99,0.33,-99,-99,18.31,-99,GG,VY,B,SuGOHI6
141701+425825,214.2543,42.9738,-99,-99,0.75,1.2,-99,20.32,22.69,CG,V,C,SuGOHI5
141711+521541,214.298153,52.261633,0.419,-99,-99,-99,-99,18.26,23.05,GG,Y,C,SuGOHI1
